Price,Close,High,Low,Open,Volume,SMA_5,SMA_10
2023-03-06,152.09469604492188,154.53683399214765,151.72887472127306,152.0551388232703,87558000,147.02059631347657,146.81593475341796
2023-03-07,149.88986206054688,152.29244288057856,149.42516275115915,151.96616367909397,56182000,147.8491455078125,147.12441711425782
2023-03-08,151.1455535888672,151.73879135670416,150.11729188950133,151.08623282941613,47204800,149.3440948486328,147.51595153808594
2023-03-09,148.89126586914062,152.79670487641312,148.53532624571014,151.8277639907766,53833600,150.26953735351563,147.63360900878905
2023-03-10,146.82484436035156,149.23732233138423,145.94488461714658,148.5155613274809,68572400,149.7692443847656,147.8105895996094
2023-03-13,148.77261352539062,151.4124925875259,146.03385648579933,146.1426162263365,84457100,149.10482788085938,148.06271209716797
2023-03-14,150.8686981201172,151.66955846534526,148.40679633095857,149.57347804705336,73695900,149.30059509277345,148.57487030029296
2023-03-15,151.26417541503906,151.52123700910988,148.22879983662045,149.48447760738804,77167900,149.3243194580078,149.3342071533203
2023-03-16,154.0919189453125,154.69503836094123,149.92940378389787,150.443542077547,76161100,150.36445007324218,150.3169937133789
2023-03-17,153.25152587890625,154.97190327803574,152.53964661627768,154.31934477284912,98944600,151.64978637695313,150.7095153808594
2023-03-20,155.6244354248047,156.03971087014546,152.4110972116962,153.3207323821306,73641400,153.02015075683593,151.06248931884767
2023-03-21,157.4832305908203,157.60187209543255,154.77413390443738,155.5453489444009,73938300,154.34305725097656,151.821826171875
2023-03-22,156.049560546875,160.31093808710082,156.02978193767285,157.50297904673437,75701800,155.30013427734374,152.31222686767578
2023-03-23,157.13717651367188,159.7276317574304,155.90127718884906,157.03831361968307,67622100,155.90918579101563,153.1368179321289
2023-03-24,158.4422607421875,158.53124185441158,156.06934056292735,157.06794158008978,59196500,156.94733276367188,154.2985595703125
2023-03-27,156.4945068359375,158.9564235953307,156.08912825748425,158.13578467553296,52390300,157.12134704589843,155.07074890136718
2023-03-28,155.87161254882812,156.7021483382564,154.2204529064242,156.18801000892674,45992200,156.7990234375,155.57104034423827
2023-03-29,158.95645141601562,159.23329169203143,157.5524714200317,157.57223494927314,51305700,157.38040161132812,156.34026794433595
2023-03-30,160.52847290039062,160.63723263142947,159.45077243888025,159.70783403649028,49501700,158.05866088867188,156.98392333984376
2023-03-31,163.0398406982422,163.1387186836245,160.0835790272574,160.60759915912635,68749800,158.97817687988282,157.96275482177734
2023-04-03,164.29550170898438,164.4141432098461,162.36750188667764,162.41694087425697,56976200,160.5383758544922,158.82986145019532
2023-04-04,163.7615966796875,164.95793868784338,163.24745837486338,164.72065569074036,46278300,162.11637268066406,159.45769805908202
2023-04-05,161.91268920898438,163.1881457283857,159.9748075653386,162.88164511746857,51511700,162.7076202392578,160.04401092529298
2023-04-06,162.80252075195312,163.09913955417102,160.17252383849814,160.59766588857192,45390100,163.1624298095703,160.61054534912108
2023-04-10,160.2021942138672,160.2021942138672,158.2741945090455,159.59907481013732,47716900,162.59490051269532,160.78653869628906
2023-04-11,158.98606872558594,160.52846844172586,158.69933167596588,160.51858667978223,47644200,161.53301391601562,161.03569488525392
2023-04-12,158.29397583007812,160.23185733032426,157.97757839276272,159.40133668736163,50133100,160.43948974609376,161.2779312133789
2023-04-13,163.69239807128906,163.92969618258195,159.59909994312628,159.80673767634033,68445600,160.7954315185547,161.75152587890625
2023-04-14,163.34634399414062,164.44382316709542,161.9720245871667,162.73332768738865,49386500,160.9041961669922,162.03331298828124
2023-04-17,163.36610412597656,163.52430285260365,162.17964384959518,163.22768401184308,41516200,161.53697814941407,162.0659393310547
2023-04-18,164.5921173095703,165.52151594579726,163.78136017187086,164.22629596467013,49923000,162.65818786621094,162.0956008911133
